0,1,2,3,4,5
0,MPK,Chennai Park,0.0,0,
1,MS,Chennai Egmore,1.25,1.25,S
2,MSC,Chennai Chetpat,3.49,2.24,S
3,NBK,Nungambakkam,5.08,1.59,S
4,MKK,Kodambakkam,6.61,1.53,S
5,MBM,Mambalam,8.22,1.61,S
6,SP,Saidapet,9.83,1.61,S
7,GDY,Guindy,11.94,2.11,S
8,STM,St. Thomas Mount,14.05,2.11,S
9,PZA,Palavantangal,15.68,1.63,S
10,MN,Minambakkam,16.97,1.29,S
11,TLM,Tirusulam,18.15,1.18,S
12,PV,Pallavaram,20.08,1.93,S
13,CMP,Chromepet,22.28,2.2,S
14,TBMS,Tambaram Sanatorium,24.29,2.01,S
15,TBM,Tambaram,26.07,26.07,S
